,date,google trend,tweet_volume,tweet_len
74,2021-05-28,1,125,29.472
75,2021-05-29,1,120,25.233333333333334
76,2021-05-30,4,87,26.413793103448278
77,2021-05-31,4,120,25.175
78,2021-06-01,3,402,18.559701492537314
79,2021-06-02,0,155,20.72258064516129
80,2021-06-03,1,91,19.065934065934066
81,2021-06-04,3,75,23.533333333333335
82,2021-06-05,2,72,23.069444444444443
83,2021-06-06,2,51,25.098039215686274
84,2021-06-07,2,67,27.955223880597014
85,2021-06-08,2,78,26.833333333333332
86,2021-06-09,2,130,24.46923076923077
87,2021-06-10,3,111,25.89189189189189
88,2021-06-11,3,85,28.8
89,2021-06-12,2,43,20.74418604651163
90,2021-06-13,1,33,31.848484848484848
91,2021-06-14,1,52,23.403846153846153
92,2021-06-15,3,69,25.92753623188406
93,2021-06-16,2,84,27.523809523809526
94,2021-06-17,0,105,16.97142857142857
95,2021-06-18,1,82,24.51219512195122
96,2021-06-19,1,57,21.350877192982455
97,2021-06-20,2,38,25.05263157894737
98,2021-06-21,2,33,26.78787878787879
99,2021-06-22,1,64,25.359375
100,2021-06-23,3,58,25.96551724137931
101,2021-06-24,2,43,27.41860465116279
102,2021-06-25,1,48,26.854166666666668
103,2021-06-26,2,38,24.394736842105264
104,2021-06-27,2,19,26.736842105263158
105,2021-06-28,3,103,29.24271844660194
106,2021-06-29,2,49,28.06122448979592
107,2021-06-30,1,49,22.591836734693878
108,2021-07-01,2,46,22.608695652173914
109,2021-07-02,1,38,19.473684210526315
110,2021-07-03,4,78,20.846153846153847
111,2021-07-04,2,46,22.73913043478261
112,2021-07-05,0,47,18.361702127659573
113,2021-07-06,1,58,21.017241379310345
114,2021-07-07,0,133,17.406015037593985
115,2021-07-08,3,51,23.372549019607842
116,2021-07-09,1,61,24.491803278688526
117,2021-07-10,0,27,27.40740740740741
118,2021-07-11,0,42,25.142857142857142
119,2021-07-12,2,68,23.08823529411765
120,2021-07-13,0,65,24.26153846153846
121,2021-07-14,0,42,24.452380952380953
122,2021-07-15,0,46,22.08695652173913
123,2021-07-16,3,302,31.162251655629138
124,2021-07-17,1,80,27.0375
125,2021-07-18,1,32,22.84375
126,2021-07-19,1,55,25.0
127,2021-07-20,1,49,24.551020408163264
128,2021-07-21,2,43,22.58139534883721
129,2021-07-22,2,27,26.666666666666668
130,2021-07-23,0,41,26.390243902439025
131,2021-07-24,1,52,23.403846153846153
132,2021-07-25,1,21,20.047619047619047
133,2021-07-26,0,38,18.57894736842105
134,2021-07-27,1,37,20.72972972972973
135,2021-07-28,4,54,27.74074074074074
136,2021-07-29,0,60,26.283333333333335
137,2021-07-30,2,26,19.96153846153846
138,2021-07-31,2,22,22.227272727272727
139,2021-08-01,3,114,23.982456140350877
140,2021-08-02,0,39,26.153846153846153
141,2021-08-03,2,59,22.627118644067796
142,2021-08-04,0,49,26.0
143,2021-08-05,1,68,24.147058823529413
144,2021-08-06,0,53,23.943396226415093
145,2021-08-07,2,57,25.31578947368421
146,2021-08-08,0,31,22.0
147,2021-08-09,1,25,23.08
148,2021-08-10,1,45,24.466666666666665
149,2021-08-11,0,35,21.285714285714285
150,2021-08-12,1,41,23.73170731707317
151,2021-08-13,4,38,26.0
152,2021-08-14,0,17,19.294117647058822
