,date,google trend,tweet_volume,tweet_len
156,2020-10-27,3,1196,25.22324414715719
157,2020-10-28,4,1120,25.735714285714284
158,2020-10-29,3,912,26.31140350877193
159,2020-10-30,3,972,25.32201646090535
160,2020-10-31,4,735,25.687074829931973
161,2020-11-01,3,674,25.31454005934718
162,2020-11-02,5,703,26.51209103840683
163,2020-11-03,5,1150,25.585217391304347
164,2020-11-04,3,944,25.030720338983052
165,2020-11-05,3,893,25.231802911534153
166,2020-11-06,3,909,25.685368536853684
167,2020-11-07,3,1517,24.580751483190507
168,2020-11-08,4,905,25.632044198895027
169,2020-11-09,4,489,27.803680981595093
170,2020-11-10,3,487,26.37987679671458
171,2020-11-11,3,461,28.60520607375271
172,2020-11-12,4,486,26.117283950617285
173,2020-11-13,2,505,25.26930693069307
174,2020-11-14,3,509,24.42043222003929
175,2020-11-15,3,686,25.69533527696793
176,2020-11-16,3,431,26.078886310904874
177,2020-11-17,3,454,26.766519823788546
178,2020-11-18,2,393,27.29262086513995
179,2020-11-19,2,411,26.579075425790755
180,2020-11-20,3,1157,25.947277441659462
181,2020-11-21,2,681,25.076358296622615
182,2020-11-22,2,442,25.540723981900452
183,2020-11-23,2,317,26.230283911671926
184,2020-11-24,2,375,26.349333333333334
185,2020-11-25,2,408,25.877450980392158
186,2020-11-26,2,353,25.23512747875354
187,2020-11-27,2,338,25.201183431952664
188,2020-11-28,2,293,26.703071672354948
189,2020-11-29,2,241,25.09128630705394
190,2020-11-30,2,345,26.18550724637681
191,2020-12-01,2,416,25.69951923076923
192,2020-12-02,2,380,27.11315789473684
193,2020-12-03,2,372,27.647849462365592
194,2020-12-04,2,376,28.300531914893618
195,2020-12-05,2,404,26.457920792079207
196,2020-12-06,2,614,27.315960912052116
197,2020-12-07,2,710,26.238028169014086
198,2020-12-08,2,2585,19.361702127659573
199,2020-12-09,2,1757,18.339214570290267
200,2020-12-10,2,567,26.12522045855379
201,2020-12-11,2,1541,25.763140817650875
202,2020-12-12,2,418,24.68421052631579
203,2020-12-13,2,527,26.973434535104364
204,2020-12-14,2,408,27.002450980392158
205,2020-12-15,2,364,26.53021978021978
206,2020-12-16,2,366,26.87431693989071
207,2020-12-17,3,334,28.047904191616766
208,2020-12-18,2,325,27.975384615384616
209,2020-12-19,2,230,26.51304347826087
210,2020-12-20,1,275,24.432727272727274
211,2020-12-21,1,269,27.36802973977695
212,2020-12-22,2,257,26.80933852140078
213,2020-12-23,2,298,25.322147651006713
214,2020-12-24,2,274,25.67153284671533
215,2020-12-25,2,169,25.27810650887574
216,2020-12-26,1,278,25.705035971223023
217,2020-12-27,1,213,27.854460093896712
218,2020-12-28,1,288,27.149305555555557
219,2020-12-29,2,333,27.4984984984985
220,2020-12-30,1,442,27.556561085972852
221,2020-12-31,2,588,26.685374149659864
